2017-01-03 10:45:46,501 [DEBUG] devpinoyLogger  - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.headers  - http-outgoing-1 >> Accept-Encoding: gzip,deflate
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "POST /hub/session/15df9eed-d8e6-4e5b-8062-ebcf78af6528/window/current/maximize HTTP/1.1[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Content-Length: 26[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Host: 127.0.0.1:7055[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Connection: Keep-Alive[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "User-Agent: Apache-HttpClient/4.5.1 (Java/1.8.0)[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "Accept-Encoding: gzip,deflate[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "[\r][\n]"
2017-01-03 10:45:57,228 [DEBUG] org.apache.http.wire  - http-outgoing-1 >> "{"windowHandle":"current"}"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "HTTP/1.1 200 OK[\r][\n]"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "content-type: application/json; charset=UTF-8[\r][\n]"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "connection: close[\r][\n]"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "content-length: 98[\r][\n]"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "server: httpd.js[\r][\n]"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "date: Tue, 03 Jan 2017 05:15:57 GMT[\r][\n]"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "[\r][\n]"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.wire  - http-outgoing-1 << "{"name":"maximizeWindow","sessionId":"15df9eed-d8e6-4e5b-8062-ebcf78af6528","status":0,"value":""}"
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.headers  - http-outgoing-1 << HTTP/1.1 200 OK
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.headers  - http-outgoing-1 << content-type: application/json; charset=UTF-8
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.headers  - http-outgoing-1 << connection: close
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.headers  - http-outgoing-1 << content-length: 98
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.headers  - http-outgoing-1 << server: httpd.js
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.headers  - http-outgoing-1 << date: Tue, 03 Jan 2017 05:15:57 GMT
2017-01-03 10:45:57,279 [DEBUG] org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-1: Close connection
2017-01-03 10:45:57,280 [DEBUG] org.apache.http.impl.execchain.MainClientExec  - Connection discarded
